a,c,vs,es
"(:Agreement {agreement_id: Agreement-2023-069-Windstream-Fully-Executed.pdf.json, name: Agreement-2023-069-Windstream-Fully-Executed.pdf.json})","(:Clause {excerpts: [Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities, NCTCOG’s affiliates, and any of their respective directors, officers, employees, agents, subcontractors, successors, and assigns from any and all suits, actions, claims, demands, judgments, liabilities, losses, damages, costs, and expenses (including reasonable attorneys’ fees and court costs) (collectively, “Losses”) arising out of or relating to: (i) Services performed and carried out pursuant to this Agreement.], draft_p25_delta: [], obligor: Contractor, title: Indemnification, external_inference_used: false, clause_order: 2, right_holder: NCTCOG, confidence_overall: 1.0, dependencies: [], agreement_id: Agreement-2023-069-Windstream-Fully-Executed.pdf.json, clause_id: 1, defaults_applied: [], draft_p75_delta: [], draft_p50_full: Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities., page_refs: [6], source_document_id: MASTER SERVICES AGREEMENT #2023-069})","[
  {
    identity: 4,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: In no event shall either party be liable for special, consequential, incidental, indirect or punitive loss, damages or expenses arising out of or relating to this Agreement.,
      clause_key: Agreement-2023-069-Windstream-Fully-Executed.pdf.json:::1,
      confidence: 1.0,
      name: liability_cap_exists,
      type: bool,
      value: false
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:4
  },
  {
    identity: 6,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities, NCTCOG’s affiliates, and any of their respective directors, officers, employees, agents, subcontractors, successors, and assigns from any and all suits, actions, claims, demands, judgments, liabilities, losses, damages, costs, and expenses (including reasonable attorneys’ fees and court costs) (collectively, “Losses”) arising out of or relating to: (i) Services performed and carried out pursuant to this Agreement.,
      clause_key: Agreement-2023-069-Windstream-Fully-Executed.pdf.json:::1,
      confidence: 1.0,
      name: indemnification_scope,
      type: string,
      value: Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities.
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:6
  }
]",[]
"(:Agreement {agreement_id: Agreement-2023-069-Windstream-Fully-Executed.pdf.json, name: Agreement-2023-069-Windstream-Fully-Executed.pdf.json})","(:Clause {excerpts: [Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential, and shall not be revealed, sold, exchanged, traded, or disclosed to any person, company, or other entity during the period of the Contractor’s retention hereunder or at any time thereafter without the express written permission of NCTCOG or Participating Entity.], draft_p25_delta: [], obligor: Contractor, title: Confidentiality, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Agreement-2023-069-Windstream-Fully-Executed.pdf.json, clause_id: 2, defaults_applied: [], draft_p75_delta: [], draft_p50_full: Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential., page_refs: [8], source_document_id: MASTER SERVICES AGREEMENT #2023-069})","[
  {
    identity: 9,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential.,
      clause_key: Agreement-2023-069-Windstream-Fully-Executed.pdf.json:::2,
      confidence: 1.0,
      name: confidentiality_obligations_exist,
      type: bool,
      value: true
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:9
  }
]",[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [Confidential Information of VCU shall include, but not be limited to information about VCU personnel and students of VCU to the extent such information is not available to the public domain in accordance with the laws of the Commonwealth of Virginia and FERPA. Contractor shall use its reasonable efforts to prevent and protect Confidential Information from unauthorized use or disclosure, with at least the same degree of care that Contractor uses to protect its own confidential and proprietary information, but in no event less than a reasonable degree of care under the circumstances. Each Party will only disclose the other Party’s Confidential Information to its employees, consultants, or subcontractors only on a need-to-know basis, provided that such employees or subcontractors are subject to confidentiality obligations no less restrictive than those contained herein. Upon the completion of the services and upon request of VCU, Contractor shall return all Confidential Information received in written format, including copies or reproductions or other media containing Confidential Information within seven (7) days of such request.], draft_p25_delta: [], obligor: Contractor, title: Confidentiality, external_inference_used: false, clause_order: 2, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 6, defaults_applied: [], draft_p75_delta: [], page_refs: [6], source_document_id: C0003310})","[
  {
    identity: 14,
    labels: [Variable],
    properties: {
      unit: business_days,
      evidence: Upon the completion of the services and upon request of VCU, Contractor shall return all Confidential Information received in written format, including copies or reproductions or other media containing Confidential Information within seven (7) days of such request.,
      clause_key: MASTER SERVICES AGREEMENT:::6,
      confidence: 1.0,
      name: ci_return_sla_bd,
      type: int,
      value: 7
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:14
  }
]",[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [Contractor shall notify VCU of any data breach within ten (10) business days.], draft_p25_delta: [], obligor: Contractor, title: Data Breach Notification, external_inference_used: false, clause_order: 2, right_holder: Contractor, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 7, defaults_applied: [], draft_p75_delta: [], page_refs: [7], source_document_id: C0003310})","[
  {
    identity: 17,
    labels: [Variable],
    properties: {
      unit: business_days,
      evidence: Contractor shall notify VCU of any data breach within ten (10) business days.,
      clause_key: MASTER SERVICES AGREEMENT:::7,
      confidence: 1.0,
      name: remediation_sla_bd,
      type: int,
      value: 10
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:17
  }
]",[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Contractor, title: Data Protection Compliance, external_inference_used: false, clause_order: 3, right_holder: Contractor, confidence_overall: 0.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 8, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: C0003310})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Contractor, title: Technical & Organisational Measures, external_inference_used: false, clause_order: 4, right_holder: Contractor, confidence_overall: 0.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 9, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: C0003310})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Contractor, title: Marketing & Promotion, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 10, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: C0003310})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [Contractor shall be liable for the direct damages caused by the negligence of itself, its officers, employees, and agents in connection with this Contract or any goods, services, actions, or omissions relating to this Contract.], draft_p25_delta: [], obligor: Contractor, title: Limitation of Liability, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 4, defaults_applied: [], draft_p75_delta: [], page_refs: [4], source_document_id: C0003310})","[
  {
    identity: 54,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: Contractor shall be liable for the direct damages caused by the negligence of itself, its officers, employees, and agents in connection with this Contract or any goods, services, actions, or omissions relating to this Contract.,
      clause_key: MASTER SERVICES AGREEMENT:::4,
      confidence: 1.0,
      name: liability_cap,
      type: bool,
      value: true
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:54
  }
]",[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [Contractor agrees to indemnify, defend, and hold harmless VCU, the Commonwealth of Virginia, and their officers, employees and agents from any claim, damage, liability, injury, expense or loss, including defense costs and attorneys’ fees, arising from Contractor’s negligence under this Agreement.], draft_p25_delta: [], obligor: Roof Systems of VA, Inc., title: Indemnification, external_inference_used: false, clause_order: 2, right_holder: Virginia Commonwealth University, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 5, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: C0003175})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [You may use our Confidential Information only for the purposes of this agreement; and must keep confidential all Confidential Information except for disclosures permitted under this clause 14; and to the extent (if any) you are required to disclose any Confidential Information by Law or in accordance with the rules of an applicable stock exchange., On the termination of this Agreement for any reason, you must return the Confidential Information and all copies of it to us.], draft_p25_delta: [], obligor: Each Party, title: Confidentiality, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 14, defaults_applied: [], draft_p75_delta: [], draft_p50_full: You must return the Confidential Information and all copies of it to us., page_refs: [], source_document_id: Comms Group Global MSA V1.0 December 2022})","[
  {
    identity: 84,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: You must return the Confidential Information and all copies of it to us.,
      clause_key: MASTER SERVICES AGREEMENT:::14,
      confidence: 0.0,
      name: ci_return_sla_bd,
      type: int
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:84
  }
]",[]
